Node ID,Recommended nodes
1,[64 33 99 4 77 17 50 19 20 86 24 58 91 59 94]
2,[69 70 38 40 73 41 74 43 44 13 19 22 23 88 61]
3,[32 1 33 4 36 5 37 20 22 23 26 27 29 30 31]
4,[96 100 6 40 43 76 14 79 50 19 87 24 25 91 62]
5,[1 2 3 6 7 8 9 10 11 12 13 15 16 17 18]
6,[96 67 39 43 17 50 18 19 51 86 24 56 28 62 94]
7,[65 36 71 72 74 10 77 79 47 83 57 59 60 94 31]
8,[68 36 76 45 14 47 48 80 17 52 55 23 87 88 63]
9,[65 99 7 40 73 45 81 18 51 84 53 22 25 91 29]
10,[1 2 3 4 5 6 7 39 8 9 12 13 14 15 21]
11,[1 2 5 39 7 40 8 77 18 20 54 23 90 60 95]
12,[1 73 10 76 44 45 14 49 18 20 53 26 28 94 31]
13,[32 65 67 4 40 12 77 14 52 85 23 26 90 91 29]
14,[97 34 67 3 35 4 68 75 44 46 15 17 82 22 60]
15,[4 10 11 13 14 50 19 53 21 85 57 59 60 63 31]
16,[65 1 66 2 98 35 71 40 73 9 46 18 57 25 95]
17,[1 2 3 4 6 7 8 9 10 11 12 13 14 15 16]
18,[65 70 39 7 8 40 80 48 81 51 53 28 92 61 31]
19,[96 65 70 8 73 74 46 17 51 20 52 23 91 61 62]
20,[1 2 4 5 6 7 8 9 10 13 16 17 18 19 21]
21,[33 34 99 67 38 8 12 46 48 83 56 29 63 31 95]
22,[32 65 97 2 68 4 37 43 76 50 20 85 27 30 63]
23,[64 97 67 68 39 72 75 11 76 12 49 53 54 90 27]
24,[96 33 35 68 74 11 86 54 87 23 89 25 57 28 63]
25,[7 8 9 10 11 12 14 15 16 17 18 19 20 21 22]
26,[35 100 68 71 10 75 12 48 16 52 21 87 92 62 30]
27,[33 2 99 68 38 70 8 9 10 42 15 81 83 94 30]
28,[96 65 34 67 69 43 77 16 80 17 87 89 92 29 63]
29,[2 3 4 71 72 10 43 76 80 52 56 89 58 92 94]
30,[65 97 3 35 6 70 40 41 46 16 83 85 25 58 31]
31,[1 2 3 4 5 6 11 12 13 14 15 16 17 18 19]
32,[34 69 7 71 8 72 73 74 77 46 85 86 25 93 94]
33,[1 2 5 6 7 8 9 10 11 12 13 15 16 17 18]
34,[64 68 71 11 45 78 47 19 23 56 58 91 59 29 61]
35,[64 65 4 36 41 44 81 49 82 25 57 26 27 62 63]
36,[96 66 67 35 70 11 16 51 52 55 23 89 59 28 92]
37,[96 2 34 3 6 73 75 76 14 49 52 20 55 59 60]
38,[1 3 4 5 6 7 8 9 20 21 22 24 26 27 28]
39,[4 10 45 14 81 51 52 54 58 26 60 28 93 29 63]
40,[97 67 99 100 6 7 78 15 48 80 21 53 24 88 63]
41,[65 99 73 42 74 14 78 79 83 51 53 21 89 90 29]
42,[96 100 36 5 70 7 8 44 45 14 52 22 90 92 28]
43,[64 3 99 36 38 72 45 78 51 21 22 54 88 59 31]
44,[66 67 3 41 12 77 13 15 79 49 84 87 27 93 30]
45,[1 2 3 4 5 8 9 10 11 12 13 15 16 17 18]
46,[96 97 1 2 67 5 70 77 80 50 21 54 23 58 30]
47,[34 40 9 73 41 44 20 85 54 24 89 25 58 29 63]
48,[2 4 5 6 7 8 9 10 11 13 14 15 16 17 18]
49,[32 97 98 69 70 71 39 46 16 84 86 24 25 63 31]
50,[65 4 73 43 45 13 14 46 81 51 19 22 57 90 92]
51,[1 2 3 4 5 7 8 9 10 11 12 13 14 15 16]
52,[96 35 100 42 10 12 45 77 15 79 16 20 53 25 31]
53,[32 33 99 72 45 14 78 80 24 90 92 60 61 93 30]
54,[33 67 36 5 13 14 16 82 50 83 20 86 58 61 95]
55,[2 3 5 6 7 8 9 10 11 12 13 15 16 17 18]
56,[96 35 67 36 38 42 77 46 48 85 22 87 26 91 92]
57,[36 68 4 6 39 73 11 49 82 19 21 54 23 91 29]
58,[97 99 8 42 10 77 78 14 79 80 22 24 26 29 63]
59,[1 2 3 5 6 7 8 9 10 12 14 16 17 19 21]
60,[98 68 5 37 77 46 48 53 86 23 24 57 25 91 62]
61,[64 65 33 36 8 83 19 53 85 21 23 90 91 27 95]
62,[65 34 35 70 40 73 12 79 80 82 19 20 22 86 60]
63,[64 39 72 40 73 74 76 77 14 17 83 20 60 28 92]
64,[1 34 36 13 14 15 18 19 20 21 23 26 27 30 31]
65,[3 4 36 5 6 38 80 18 51 52 85 89 25 30 31]
66,[98 37 6 40 42 12 78 18 82 88 90 26 27 60 63]
67,[100 37 70 7 73 74 78 83 53 24 26 90 61 29 62]
68,[1 3 4 5 7 9 12 14 15 17 18 19 20 22 25]
69,[4 68 100 38 74 47 16 21 53 54 87 57 27 30 62]
70,[33 98 100 10 75 12 13 45 77 14 83 22 24 56 29]
71,[1 2 3 4 5 6 7 9 11 12 13 17 19 20 22]
72,[2 3 4 6 7 8 13 17 18 19 20 21 22 24 25]
73,[32 33 98 100 69 38 71 75 48 82 51 21 54 58 91]
74,[38 39 40 41 43 13 14 16 20 21 25 26 28 29 31]
75,[38 71 8 9 41 46 82 21 53 86 22 89 59 29 30]
76,[1 2 4 5 9 11 12 18 19 20 21 22 23 24 25]
77,[1 33 3 35 4 5 37 6 9 12 13 14 15 17 31]
78,[4 5 70 77 45 16 48 81 85 24 56 25 28 93 61]
79,[33 38 7 72 9 13 48 83 20 54 23 57 59 60 63]
80,[64 1 69 70 72 11 78 47 81 49 19 20 53 88 89]
81,[66 40 72 43 47 49 18 83 20 22 87 55 56 57 63]
82,[1 2 3 4 5 6 7 10 11 12 14 15 16 18 20]
83,[4 38 7 8 11 13 80 17 19 52 22 23 88 92 30]
84,[35 36 70 38 40 72 10 80 48 85 88 57 91 60 94]
85,[1 2 3 5 6 8 9 10 11 14 16 17 18 19 20]
86,[32 64 69 70 73 74 43 76 45 77 52 21 55 25 26]
87,[3 36 68 5 38 71 9 79 80 49 19 20 25 62 94]
88,[4 5 6 7 39 8 40 9 10 11 43 44 13 15 18]
89,[32 67 73 41 10 42 11 13 18 51 52 84 21 27 61]
90,[1 66 3 100 38 40 74 43 15 16 81 19 84 88 92]
91,[32 1 98 66 70 39 10 16 80 82 85 88 57 90 28]
92,[66 3 40 9 11 75 76 15 49 18 82 20 21 86 31]
93,[33 3 4 6 14 15 18 19 20 22 23 24 28 30 31]
94,[32 96 98 37 6 9 42 12 49 24 26 27 29 30 95]
